PlayerId,MLB_Proj_Score
29695,66.76
29704,56.9
29712,48.06
29715,66.56
29766,55.45
29779,65.77
29782,48.67
29788,62.08
29794,80.81
29830,52.3
29844,64.93
29858,47.9
29868,48.86
29912,52.99
29931,69.82
29949,59.78
29958,64.42
29976,69.0
29993,62.32
29995,78.18
30011,72.18
30028,55.24
30038,54.55
30063,61.45
30162,61.05
30163,66.43
3044,49.69
3086,76.17
3096,57.27
3106,47.5
31166,63.94
3118,72.42
3123,61.49
3129,74.16
3131,78.5
31347,69.85
31349,57.21
31354,56.69
31357,74.46
31363,51.25
3137,46.8
31370,60.14
31382,70.67
31394,78.17
31396,61.43
3142,63.84
3143,42.53
31431,59.8
31437,59.67
3147,71.06
31490,66.27
31500,62.49
31505,86.24
31522,45.05
31539,68.24
3154,66.92
31545,70.14
31562,60.75
31564,73.82
31567,60.48
31580,76.94
31583,44.25
31595,77.25
3166,40.14
31661,60.11
31665,63.43
31680,84.76
31695,75.83
3174,56.5
31765,67.01
31781,74.24
3179,52.96
31792,58.09
31793,70.45
31812,78.94
31855,59.57
3188,71.45
31912,73.66
31991,59.12
3203,70.45
3206,56.68
3207,63.44
3209,76.35
3211,54.45
3216,42.86
3219,47.84
3234,47.31
3248,80.56
3254,43.84
3255,69.9
3256,62.85
3262,64.49
3265,33.53
3274,52.51
3285,62.49
3298,68.78
3299,45.95
3308,45.59
3310,55.4
3312,75.78
33189,66.55
33197,62.45
33252,72.32
33266,56.11
33280,56.12
33321,82.02
33322,77.7
33333,56.93
3336,74.24
33390,70.2
3344,32.95
3353,66.47
33541,58.47
33549,63.6
3355,37.96
3357,26.61
3361,73.89
3364,54.05
33644,47.1
3366,62.1
33703,31.57
33704,59.85
3371,62.49
3373,59.74
3374,48.43
3376,66.9
3388,72.66
3390,61.67
3395,63.73
3402,65.71
341,66.55
3410,94.4
3411,64.18
3412,56.49
3417,60.74
3433,72.7
3441,73.57
3443,44.81
3448,54.94
3455,58.31
3473,90.6
3492,51.81
34979,69.66
3501,58.23
35041,79.56
35108,70.0
35110,74.94
3516,85.21
3531,59.23
3533,51.71
3534,43.92
3547,33.38
3555,39.2
3585,63.04
36,48.54
3630,70.23
3648,50.56
3658,46.0
3707,73.86
3711,72.4
3714,71.96
3726,66.63
3728,61.86
3734,61.09
3735,66.03
3751,78.44
3767,70.14
3769,47.93
3773,33.18
3777,47.36
3789,56.23
3790,61.86
3802,45.6
3805,45.25
3806,32.26
3812,52.34
3814,70.46
3817,68.67
3821,57.16
3832,44.36
3833,26.93
3837,62.07
3855,33.31
3862,47.46
3868,53.68
3870,68.57
3873,32.71
3876,43.42
3877,29.65
3892,72.62
3900,55.04
3917,79.19
3919,49.88
3920,30.29
3950,45.1
3951,50.83
3959,50.71
3972,54.12
3978,76.2
3993,38.35
4003,50.1
4004,48.42
4006,65.48
4016,65.66
4020,43.73
4022,59.04
4034,62.72
4048,48.15
4049,60.47
4054,68.75
4062,62.4
4063,50.5
4082,52.24
4083,42.71
4086,40.89
4087,64.3
4089,46.69
4106,75.65
4121,73.68
4142,54.8
4146,57.95
4166,48.68
4177,58.39
4182,62.23
4185,50.32
4191,66.63
4220,54.82
4229,57.73
4243,55.56
4249,67.17
4279,48.98
4293,56.92
4298,84.85
