BW_Rank,BW_Name,BW_Team,Pos,BW_Age,In_Pool,Combined_Rank,Delta,Pool_Name,Pool_Team,Level,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
91,Ike Irish,BAL,OF/C,22.5,True,913.0,-822.0,Ike Irish,BAL,A+,51.47,61.89,59.53,46.85,53.73
92,Arjun Nimmala,TOR,SS,20.7,True,122.0,-30.0,Arjun Nimmala,LAA,AA,59.73,72.01,55.26,73.54,62.86
93,John Gil,ATL,SS,30.0,True,114.0,-21.0,John Gil,ATL,AA,59.67,73.71,59.15,67.24,63.28
94,Robert Arias,CLE,OF,19.7,True,21.0,73.0,Robert Arias,CLE,A,64.69,79.15,69.38,60.51,68.49
95,Chase Harlan,LAD,3B,19.1,True,160.0,-65.0,Chase Harlan,LAD,A+,56.86,78.4,56.74,63.42,61.96
96,Kevin Alvarez,HOU,OF,18.3,True,26.0,70.0,Kevin Alvarez,HOU,A,67.96,76.43,60.0,63.85,67.86
97,Wandy Asigen,NYM,SS,16.8,True,1046.0,-949.0,Wandy Asigen,NYM,R,,57.06,52.69,61.75,52.91
98,Abimelec Ortiz,WSH,1B,24.2,True,381.0,-283.0,Abimelec Ortiz,WSH,AAA,56.75,68.52,59.82,46.85,58.05
99,Kahlil Watson,CLE,OF,23.0,True,822.0,-723.0,Kahlil Watson,CLE,AAA,51.7,62.84,54.09,58.07,54.33
100,Eduardo Tait,MIN,C,19.8,True,84.0,16.0,Eduardo Tait,MIN,A+,62.62,73.85,55.51,69.11,64.24
101,Andrew Fischer,MIL,1B/3B,21.11,True,488.0,-387.0,Andrew Fischer,MIL,AA,50.4,74.63,60.28,51.21,56.99
102,Kayson Cunningham,ARI,SS,19.1,True,1066.0,-964.0,Kayson Cunningham,AZ,A+,46.45,62.69,55.31,64.87,52.8
103,Brody Hopkins,TBR,RHP,24.3,False,,,,,,,,,,
104,Miguel Sime,WSH,RHP,19.0,False,,,,,,,,,,
105,Joseph Dzierwa,BAL,LHP,22.0,False,,,,,,,,,,
106,Juan Sanchez,TOR,SS/3B,18.7,True,121.0,-15.0,Juan Sanchez,TOR,A,65.99,65.39,53.33,65.01,62.89
107,Francisco Renteria,PHI,OF,17.4,True,145.0,-38.0,Francisco Renteria,PHI,R,,67.1,86.36,57.64,62.2
108,Angeibel Gomez,KCR,OF,17.5,True,193.0,-85.0,Angeibel Gomez,KC,R,,65.53,84.03,57.64,61.31
109,Cooper Ingle,CLE,C,24.2,True,139.0,-30.0,Cooper Ingle,CLE,AAA,62.53,71.04,63.12,46.85,62.3
110,Seaver King,WSH,SS,23.0,True,480.0,-370.0,Seaver King,WSH,AAA,54.55,63.32,59.42,58.07,57.06
111,Karson Milbrandt,MIA,RHP,22.0,False,,,,,,,,,,
112,Kyson Witherspoon,BOS,RHP,21.9,False,,,,,,,,,,
113,Jaxon Wiggins,CHC,RHP,24.7,False,,,,,,,,,,
114,TJ Nichols,TBR,RHP,23.11,False,,,,,,,,,,
115,Tanner McDougal,CHW,RHP,23.1,False,,,,,,,,,,
116,Raudi Rodriguez,LAA,OF,22.1,True,328.0,-212.0,Raudi Rodriguez,LAA,AAA,54.18,70.11,57.61,62.79,58.72
117,Deniel Ortiz,STL,1B/3B,21.8,True,312.0,-195.0,Deniel Ortiz,STL,AA,52.79,69.02,58.21,70.48,58.89
118,Felnin Celesten,SEA,SS,20.7,True,214.0,-96.0,Felnin Celesten,SEA,AA,57.15,71.35,55.7,68.16,60.8
119,Nate George,BAL,OF,20.0,True,27.0,92.0,Nate George,BAL,A+,62.16,79.44,69.55,64.18,67.8
120,Cris Rodriguez,DET,OF,18.3,True,282.0,-162.0,Cris Rodriguez,DET,R,59.77,59.76,61.26,58.79,59.33
121,Johenssy Colome,SAC,SS,17.7,True,1092.0,-971.0,Johenssy Colome,OAK,R,,49.87,61.86,57.64,52.66
122,Santiago Solarte,MIA,SS,17.5,True,376.0,-254.0,Santiago Solarte,MIA,R,,55.29,80.75,57.64,58.12
123,Braylon Doughty,CLE,RHP,20.5,False,,,,,,,,,,
124,Johnny King,TOR,LHP,19.9,False,,,,,,,,,,
125,Blake Burke,MIL,1B,22.11,True,563.0,-438.0,Blake Burke,MIL,AAA,51.58,66.43,62.27,52.78,56.25
126,Bo Davidson,SFG,OF,23.1,True,275.0,-149.0,Bo Davidson,SF,AAA,57.63,66.09,63.37,52.51,59.42
127,Sean Keys,TOR,3B,22.11,True,220.0,-93.0,Sean Keys,TOR,AAA,58.33,71.9,60.88,52.51,60.63
128,Aroon Escobar,PHI,2B,21.4,True,112.0,16.0,Aroon Escobar,PHI,AA,61.35,71.17,57.12,69.09,63.31
129,Devin Taylor,SAC,OF,22.4,True,479.0,-350.0,Devin Taylor,OAK,AA,52.98,68.08,56.78,59.92,57.07
130,Josh Adamczewski,MIL,2B/OF,21.0,True,48.0,82.0,Josh Adamczewski,MIL,AA,60.95,80.24,65.94,61.86,66.29
131,Marco Dinges,MIL,C,22.8,True,212.0,-81.0,Marco Dinges,MIL,AA,59.06,73.96,58.79,51.21,60.86
132,Demetrio Crisantes,ARI,2B,21.8,True,29.0,103.0,Demetrio Crisantes,AZ,AAA,62.79,82.31,60.88,70.48,67.72
133,William Bergolla Jr.,CHW,SS,21.6,True,4.0,129.0,William Bergolla Jr.,CWS,AAA,67.81,88.89,64.25,75.85,73.28
134,Kendall George,LAD,OF,21.6,True,118.0,16.0,Kendall George,LAD,AA,56.92,71.22,65.77,70.48,63.17
135,Wei-En Lin,SAC,LHP,20.6,False,,,,,,,,,,
136,Edwin Arroyo,CIN,SS,22.9,True,82.0,54.0,Edwin Arroyo,CIN,AAA,58.31,77.94,61.58,69.28,64.4
137,Jack Wenninger,NYM,RHP,24.2,False,,,,,,,,,,
138,Ben Hess,NYY,RHP,23.8,False,,,,,,,,,,
139,Riley Quick,MIN,RHP,22.0,False,,,,,,,,,,
