Combined_Rank,Name,Team,Level,BA_Rank,BA_Delta,PIPE_Rank,PIPE_Delta,BA_Org_Rank,PIPE_Org_Rank,TBC_Name,Pos,Born,Age_At_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
311,Stiven Marinez,NYY,R,,,,,22,19,Stiven Marinez,SS,2007-08-20,19.0,51.87,70.67,69.85,53.57,58.9
313,Esmil Valencia,MIA,A+,,,,,16,23,Esmil Valencia,OF,2005-10-09,21.0,56.98,64.69,57.8,64.38,58.86
313,Arnaldo Lantigua,CIN,A,,,,,25,16,Arnaldo Lantigua,OF,2005-12-19,21.0,61.44,60.07,58.41,54.2,58.86
316,Kyle Lodise,CWS,A+,,,,,10,10,Kyle Lodise,IF,2003-10-17,23.0,64.01,60.21,56.79,46.54,58.84
320,Raudi Rodriguez,LAA,AAA,,,,,21,16,Raudi Rodriguez,OF,2003-07-07,23.0,54.33,71.82,57.22,62.76,58.83
322,Bruin Agbayani,NYM,A,,,,,,30,Bruin Agbayani,SS,2007-03-26,19.0,57.71,62.52,59.7,61.79,58.81
326,Jordan Yost,DET,A,,,,,5,9,Jordan Yost,SS,2006-12-21,20.0,,80.74,55.43,61.79,58.79
327,Devin Taylor,OAK,AAA,,,,,9,8,Devin Taylor,OF,2004-01-06,22.0,53.84,71.66,57.39,64.24,58.77
327,JD Dix,AZ,A+,,,,,8,6,JD Dix,SS,2005-10-12,21.0,55.9,71.17,52.65,65.08,58.77
330,Tre' Morgan,TB,AAA,,,,,29,19,Tre' Morgan,1B-LF,2002-07-16,24.0,62.45,56.84,56.77,57.93,58.75
336,Anthony Millan,HOU,R,,,,,29,21,Anthony Millan,OF,2008-05-13,18.0,57.13,65.8,61.59,53.57,58.62
338,Bryan Rincon,PHI,AA,,,,,30,29,Bryan Rincon,SS,2004-02-08,22.0,56.01,68.19,58.67,58.3,58.58
340,Albert Fermín,HOU,R,,,,,,10,Albert Fermin,SS,2009-02-09,17.0,,67.63,70.52,57.69,58.55
342,Joniel Hernandez,SF,R,,,,,,17,Joniel Hernandez,SS,2009-03-06,17.0,,68.78,69.14,57.69,58.52
344,Fenwick Trimble,MIA,AA,,,,,11,20,Fenwick Trimble,CF,2002-08-29,24.0,57.3,68.13,61.5,48.09,58.51
348,Cam Collier,CIN,AA,,,,,8,7,Cam Collier,3B,2004-11-20,22.0,56.88,66.7,51.84,68.14,58.45
349,Javier Mogollon,CWS,A+,,,,,16,13,Javier Mogollon,IF,2005-11-01,21.0,58.37,61.78,59.6,57.63,58.41
350,Santiago Solarte,MIA,R,,,,,,14,Santiago Solarte,SS,2008-11-23,18.0,,56.97,80.94,57.69,58.38
353,Cole Mathis,NYM,A+,,,,,9,15,Cole Mathis,P-3B,2003-07-25,23.0,59.47,68.04,56.58,46.54,58.3
354,Kaeden Kent,SF,A+,,,,,16,13,Kaeden Kent,IF,2003-08-29,23.0,58.48,67.84,58.31,47.65,58.28
357,Johanfran Garcia,BOS,AA,,,,,27,28,Johanfran Garcia,C-1B,2004-12-08,22.0,54.32,68.98,53.94,68.88,58.24
358,Sam Petersen,WSH,AAA,,,,,12,22,Sam Petersen,LF,2003-01-20,23.0,58.85,65.01,57.37,52.27,58.21
359,Jonny Farmelo,SEA,AA,,,78.0,-281.0,6,6,Jonny Farmelo,OF,2004-09-09,22.0,55.11,69.45,54.77,62.94,58.16
362,Marek Houston,MIN,AA,,,,,9,8,Marek Houston,IF,2004-04-14,22.0,56.19,68.43,60.37,50.97,58.14
362,Ricky Cabrera,CIN,A+,,,,,,24,Ricky Cabrera,3B-SS,2004-10-31,22.0,56.2,67.33,53.23,64.94,58.14
368,Emanuel Luna,STL,R,,,,,,19,Emanuel Luna,OF,2009-01-15,17.0,,53.76,82.86,57.69,58.06
370,Creed Willems,BAL,AAA,,,,,,19,Creed Willems,C-1B,2003-06-04,23.0,56.6,69.8,53.46,57.93,58.05
374,Joendry Vargas,LAD,A,,,,,15,21,Joendry Vargas,SS,2005-11-08,21.0,57.37,64.12,59.74,54.09,58.01
381,Deyvison De Los Santos,MIA,AAA,,,,,30,,Deyvison De Los Santos,1B-3B,2003-06-21,23.0,55.76,68.44,56.51,57.93,57.98
386,Asbel Gonzalez,KC,A+,,,,,16,17,Asbel Gonzalez,OF,2006-01-02,20.0,56.74,62.84,55.77,64.38,57.86
387,Murf Gray,PIT,AA,,,,,27,20,Murf Gray,IF,2003-12-30,23.0,,76.61,61.56,51.43,57.84
387,Luke Stevenson,SEA,A+,,,,,8,8,Luke Stevenson,C,2004-07-22,22.0,58.53,64.43,54.63,56.33,57.84
396,Jeremy Rodriguez,NYM,A,,,,,28,,Jeremy Rodriguez,SS,2006-07-04,20.0,60.36,59.76,51.73,61.79,57.76
398,Trey Snyder,NYM,A+,,,,,26,,Trey Snyder,SS-3B,2005-09-21,21.0,57.61,63.88,54.86,59.78,57.75
413,Ivan Luciano,AZ,A+,,,,,23,26,Ivan Luciano,C,2006-11-24,20.0,55.68,69.99,50.08,63.61,57.63
416,JoJo Parker,TOR,A+,66.0,-350.0,45.0,-371.0,,2,JoJo Parker,SS,2006-08-08,20.0,,70.67,59.57,63.47,57.6
