Combined_Rank,Name,Team,Level,Age,PA,BW_Rank,BA_Rank,PIPE_Rank,BA_Org_Rank,PIPE_Org_Rank,Score,Score_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score,PlayerId
161,Yaxson Lucena,STL,R,18.0,408,,,,,,57.47,383,64.23,66.61,55.45,58.79,61.95,821164
162,Max Anderson,DET,AAA,24.0,1636,269.0,,,7,5,55.11,768,59.94,75.46,62.48,46.85,61.92,801194
163,Khadim Diaw,MIN,AA,22.0,687,,,,24,23,56.69,469,61.97,73.44,57.4,51.21,61.9,813715
163,Luke Pelzer,KC,AA,23.0,486,,,,,,56.08,577,62.75,70.9,64.62,40.65,61.9,804114
165,Yoeilin Cespedes,BOS,AA,20.0,1220,,,,19,18,58.52,268,62.29,65.77,55.56,67.24,61.89,806985
166,Elaineiker Coronado,TOR,R,18.0,377,,,,,,55.62,664,60.72,73.88,58.14,53.53,61.84,830398
167,Axiel Plaz,PIT,A+,20.0,1157,207.0,,,20,22,59.54,191,58.57,74.98,55.41,64.18,61.8,800208
168,Daniel Bastardo,CHC,R,17.0,24,,,,,,75.4,1,,52.73,100.0,57.64,61.74,842065
169,Luis Guanipa,ATL,A+,20.0,1066,,,,,21,58.92,228,57.3,78.5,57.82,57.79,61.71,806994
170,Alejandro Blasco,CLE,A,19.0,414,,,,,,58.82,237,59.5,67.7,64.02,58.45,61.67,821246
170,Trevor Cohen,SF,AA,22.0,648,,,,9,9,55.87,614,60.88,69.99,61.65,52.88,61.67,701906
172,Jacob Reimer,NYM,AA,22.0,1356,89.0,,,8,6,57.84,339,60.36,71.36,57.98,58.44,61.66,702544
173,Andy Perez,COL,AA,22.0,2500,,,,,,57.99,324,60.77,70.12,58.33,58.44,61.64,700321
174,Matthew Moses,MIL,R,18.0,263,,,,,,57.18,412,66.02,57.46,62.95,53.53,61.62,829849
175,Ethan Anderson,BAL,AA,22.0,750,,,,23,26,58.41,283,59.65,71.17,59.61,58.44,61.61,803175
