PlayerId,Name,Career_PA_Proj,Career_PA_Proj_Adj,Career_PA_P25,Career_PA_P75,MaxEV_proj,MaxEV_proj_n,MaxEV_proj_conf
830435,Luis Morejon,475.0,402.0,0.0,0.0,108.2,6.0,67.0
809763,Kaeden Kent,1239.0,1140.0,0.0,1683.0,107.6,19.0,77.1
801537,Nathan Humphreys,563.0,536.0,0.0,491.0,110.6,15.0,68.6
702686,Everett Cooper III,9.0,9.0,0.0,0.0,,,
815983,Coy James,140.0,127.0,0.0,0.0,107.3,18.0,69.0
808096,Reiner Herrera,471.0,471.0,0.0,781.0,109.5,17.0,68.3
809331,Brian Sanchez,245.0,245.0,0.0,0.0,108.7,10.0,78.8
700731,Keiner Delgado,342.0,342.0,0.0,382.0,109.0,13.0,71.1
807722,Maxton Martin,320.0,320.0,0.0,265.0,109.8,12.0,82.1
691024,Cayden Wallace,403.0,403.0,0.0,346.0,108.8,11.0,78.8
800176,Carlos Sanchez,42.0,42.0,0.0,0.0,108.4,8.0,69.9
807010,Anibal Salas,157.0,157.0,0.0,0.0,110.6,8.0,76.2
821045,Diorland Zambrano,330.0,282.0,0.0,0.0,,,
823779,Ryan Sprock,115.0,108.0,0.0,0.0,107.1,12.0,66.2
700283,Derlin Figueroa,201.0,201.0,0.0,0.0,109.2,7.0,74.2
806959,Joendry Vargas,797.0,797.0,0.0,1302.0,109.3,14.0,72.3
829045,Yorger Bautista,0.0,0.0,0.0,0.0,108.1,22.0,1.4
811948,Tony Santa Maria,328.0,326.0,0.0,176.0,106.5,16.0,54.1
837684,Jeremy Suriel,292.0,127.0,0.0,0.0,105.8,8.0,52.6
808401,Angel Guzman,55.0,55.0,0.0,0.0,,,
830398,Elaineiker Coronado,97.0,73.0,0.0,0.0,,,
808159,Jonathan Martinez,154.0,154.0,0.0,0.0,106.2,10.0,47.8
807267,JD Dix,0.0,0.0,0.0,0.0,103.4,10.0,74.2
691021,A.J. Vukovich,237.0,237.0,0.0,0.0,111.8,7.0,73.1
827281,Carlos Renzullo,196.0,196.0,0.0,0.0,,,
828589,Max Durrington,53.0,53.0,0.0,0.0,105.8,8.0,72.9
702544,Jacob Reimer,340.0,340.0,0.0,210.0,108.4,11.0,74.9
837757,Jendy Martinez,0.0,0.0,0.0,0.0,,,
805117,Jean Carlos Sió,791.0,791.0,0.0,901.0,108.7,15.0,78.5
826928,Owen Carey,564.0,564.0,0.0,624.0,108.9,10.0,82.7
829791,Miguel Hernández,55.0,46.0,0.0,0.0,105.4,10.0,58.8
804911,Brendan Summerhill,558.0,415.0,0.0,676.0,107.9,16.0,74.9
692110,Core Jackson,14.0,14.0,0.0,0.0,105.9,13.0,71.4
