year,source,team_id,rank,mlb_rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
2026,BA,4,27,,Griff O'Ferrall,SS-2B,6-1,195,R,R,2003-02-02,"Richmond,VA",AA,,2022-2026,2024-  1-  32-BAL,Minors,,
2026,BA,4,28,,Sebastian Gongora,P,6-5,240,L,L,2001-09-01,"Cleveland,OH",AA,,2022-2026,2024- 11- 339-BAL,Minors,,
2026,BA,4,29,,Andrew Tess,C,6-0,200,R,R,2006-08-18,"St. Petersburg,FL",A,,2025-2026,2024- 12- 369-BAL,Minors,,
2026,BA,4,30,,Keeler Morfe,P,5-8,161,R,R,2006-06-09,"Caracas,VZ",A,,2023-2026,2023-  UDFA  -BAL,IL-7,,
2026,PIPE,4,1,8,Samuel Basallo,C-1B,6-4,180,L,R,2004-08-13,"Santo Domingo,DR",MLB,2025-2026,2021-2026,2021-  UDFA  -BAL,IL-10,,
2026,PIPE,4,2,69,Dylan Beavers,RF-CF,6-5,206,L,R,2001-08-11,"San Luis Obispo,CA",MLB,2025-2026,2020-2026,2022-  1-  33-BAL,Active,,
2026,PIPE,4,3,93,Nate George,OF,6-0,200,R,R,2006-06-04,"Joliet,IL",A+,,2025-2026,2024- 16- 489-BAL,IL-7,,
2026,PIPE,4,4,,Luis De Leon,P,6-3,168,L,L,2003-04-14,"Barahona,DR",AAA,,2022-2026,,Minors,,
2026,PIPE,4,5,,Trey Gibson,P,6-5,240,R,R,2002-05-18,"Newport News,VA",MLB,2026-2026,2021-2026,2023-  UDFA  -BAL,Minors,,
2026,PIPE,4,6,,Ike Irish,C,6-2,201,L,R,2003-11-26,"Grand Rapids,MI",A+,,2023-2026,2025-  1-  19-BAL,IL-7,,
2026,PIPE,4,7,,Wehiwa Aloy,SS,6-2,200,R,R,2004-02-04,"Wailuku,HI",AA,,2023-2026,2025-  1-  31-BAL,Minors,,
2026,PIPE,4,8,,Esteban Mejia,P,6-3,175,R,R,2007-03-07,"Villa Altagracia,DR",A,,2024-2026,2024-  UDFA  -BAL,Minors,,
2026,PIPE,4,9,,Aron Estrada,2B,5-8,142,B,R,2005-01-13,"Caja Seca,VZ",AA,,2022-2026,2022-  UDFA  -BAL,Minors,,
2026,PIPE,4,10,,Enrique Bradfield,CF-LF,6-0,170,L,L,2001-12-02,"Pembroke Pines,FL",AAA,,2021-2026,2023-  1-  17-BAL,Minors,,
