PlayerId,MLBAM_ID,Season,Name,Team,Level,League,Age,G,GS,IP,ER,K,BB,IBB,HRA,H,HBP,BF,W,L,SV,SVO,HLD,BS,CG,SHO,WP
8228,472490,2006,Jae Kuk Ryu,CHC,AAA,Pacific Coast League,23,24,23,139.33333333333334,50,114,51,1,12,123,4,582,8,8,0,0,1,0,1,0,8
477454,477454,2006,Vinicio Gonzalez,TAB,AAA,Mexican League,20,30,17,122.33333333333333,44,78,45,4,10,124,6,525,8,7,2,2,3,0,1,0,6
495506,495506,2006,Edgar Huerta,TIG,AAA,Mexican League,26,17,6,41.666666666666664,15,37,19,0,6,39,0,181,3,1,0,0,2,0,0,0,1
2873,433586,2006,Santiago Casilla,OAK,AAA,Pacific Coast League,25,25,0,33.0,12,32,10,1,2,25,2,136,2,0,4,8,3,4,0,0,1
495560,495560,2006,Jose Fierro,TIJ,AAA,Mexican League,19,15,0,11.0,4,12,4,0,1,8,1,49,0,0,0,0,0,0,0,0,2
434662,434662,2006,Jeff Miller,SF,AAA,Pacific Coast League,26,15,0,22.0,8,13,5,0,4,19,0,89,1,2,0,1,3,1,0,0,1
4640,456589,2006,Jason Bergmann,WSH,AAA,Pacific Coast League,24,26,4,60.333333333333336,22,62,20,2,5,54,1,248,8,2,4,8,3,4,0,0,3
470830,470830,2006,Hugo Castellanos,CHC,AAA,Pacific Coast League,26,24,17,114.66666666666667,42,117,42,2,6,109,9,487,6,0,1,1,3,0,0,0,3
477444,477444,2006,Conrado Garza,COR,AAA,Mexican League,26,51,0,30.0,11,12,13,1,2,34,0,128,2,2,0,3,14,3,0,0,2
5905,445156,2006,Sean Marshall,CHC,AAA,Pacific Coast League,23,4,4,21.666666666666668,8,21,14,0,1,17,0,92,0,2,0,0,0,0,0,0,5
2209,430618,2006,Justin Hampson,COL,AAA,Pacific Coast League,26,31,13,121.66666666666667,45,95,39,1,10,121,5,511,8,4,0,0,3,0,0,0,5
4608,445090,2006,Bobby Korecky,MIN,AAA,International League,26,34,0,51.333333333333336,19,28,16,7,4,52,0,219,5,3,8,11,0,3,0,0,5
4705,451497,2006,Brian Slocum,CLE,AAA,International League,25,27,15,94.0,35,91,37,2,5,78,9,394,6,3,1,2,1,1,0,0,6
2175,430608,2006,Ben Hendrickson,MIL,AAA,Pacific Coast League,25,23,23,139.33333333333334,52,97,46,0,9,121,5,570,9,8,0,0,0,0,1,0,6
449463,449463,2006,John Birtwell,OAK,AAA,Pacific Coast League,26,24,0,29.333333333333332,11,26,16,1,1,31,3,137,0,0,0,1,3,1,0,0,2
