key_mlbam,key_fangraphs
450302,
684426,
447782,
533615,
502537,
547920,
699298,
119800,1009597
700956,
458560,
831742,
451751,
693803,
458909,
814276,
692023,
115663,1005547
112027,1001985
473596,
452918,
818445,
440476,
680846,
821245,
120992,1010767
492831,
814911,
476117,
804825,
811697,
581482,
469191,
456394,
608337,15474
477478,
664122,
122069,1011812
806642,
532959,
642447,
623250,
658668,19698
466371,
670708,
544363,
627387,
465742,
822956,
672619,
111408,1001370
815939,
809319,
819387,
688820,
650623,
437015,
111470,1001433
441832,
690800,
816871,
113420,1003356
667540,
439547,
819358,
823049,
453602,
486202,
464873,
674372,
660724,
669238,
468476,
446973,
667229,
542685,
682507,
447391,
465092,
822099,
666847,
682075,
110875,1000847
468833,
436419,
470415,
622599,
518818,
681956,
465264,
699906,
519154,
829865,
555453,
666503,
701632,
114717,1004633
473117,
461021,
666196,
565190,
821144,
593824,
672859,
442053,
683227,25629
607902,
811244,
608047,
112994,1002929
806071,
666048,
672797,
435826,
641796,15124
681615,
406723,1000544
461885,
473181,
819325,
818892,
556743,
462111,
489693,
650341,
543703,
477495,
543183,
519211,
519455,4505
465560,
470257,
681170,
805311,
808136,
816496,
821364,
489737,
809797,
607517,
814707,
121675,1011421
676886,20205
445427,
453206,
663424,
438097,
673907,
831924,
802512,
824274,
451626,
593985,
684937,
815182,
452891,
516508,
111967,1001923
694766,
562154,
809249,
676057,
119141,1008958
474272,
457851,
464442,
663725,
695670,29958
444862,
440889,
694705,
441406,
467329,
569621,
467711,
445084,
117415,1007260
689514,
674051,
613317,16618
546758,
472500,
666686,
543441,
466121,
661533,
818023,
502830,
544515,
514905,
802551,
683349,
456281,
439529,
460248,
819135,
477082,
641733,
441928,
679675,
124205,1013876
463469,
118182,1008007
692227,
490997,
136270,1000521
543721,
573210,
800832,
820341,
676209,
455592,
692221,
443721,
690100,
118106,1007937
506648,7759
650367,
822371,
832526,
682589,
687326,
832404,
460608,
702068,
452736,
622378,
117017,1006874
702693,
452212,
664724,
442396,
440758,
674913,
112321,1002279
692574,
673819,
594905,
472047,
670386,
115683,1005568
555298,
620440,
674016,
455090,7487
815542,
121028,1010792
608680,
438677,
686843,
451281,
460908,
832407,
119732,1049
124177,1013879
820802,
112475,1002423
117537,1007381
602101,
437511,
523270,
680941,
463639,
824892,
650873,
518512,
500234,
434585,
522809,
817990,
122710,1012453
686420,
801711,
822409,
463263,
581140,
532136,
802101,
670616,
687636,
808013,
439584,
441531,
684551,
805832,
543578,
495664,
449811,
528332,
702694,
807433,
594846,
437678,
542576,
674376,
650438,
519096,7385
439201,
809997,
668925,
595442,
462401,
596335,
118282,1008105
692183,
561867,
442637,
665871,21741
667638,
455429,
622200,
668907,
668842,
573448,
461372,
700761,
687687,
534369,
688601,
831119,
572817,
112224,1002170
669217,
694476,
815394,
827658,
829786,
690218,
830769,
807319,
444900,
698866,
444003,
688004,
407053,733
688453,
689926,
608700,13807
695479,
440293,
622577,
594922,
691641,
122370,1012116
441515,
607235,
110634,1000619
516861,
116898,1006750
830573,
600906,
808011,
472638,
116058,1960
502262,
642506,
800264,
819595,
823650,
529397,
453601,
431092,
117356,1007202
837537,
450687,
564174,
443773,
443370,
621164,
701898,
440521,
474823,
657522,
502198,
819686,
