Season,League,Avg_Age,Std_Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2023,Eastern League,22.62,1.35,2.63,0.62,1.7,0.4
2023,Florida Complex League,19.99,1.75,2.84,0.76,2.21,0.56
2023,Florida State League,21.19,1.62,2.54,0.62,1.82,0.44
2023,International League,23.04,1.11,3.68,0.86,1.83,0.42
2023,Midwest League,22.07,1.43,2.47,0.6,1.65,0.39
2023,Northwest League,22.15,1.44,2.66,0.64,1.8,0.4
2023,Pacific Coast League,22.92,1.19,4.6,1.05,2.57,0.56
2023,South Atlantic League,22.08,1.44,2.69,0.65,1.96,0.45
2023,Southern League,22.55,1.39,2.88,0.69,1.9,0.43
2023,Texas League,22.62,1.36,3.1,0.74,1.61,0.35
2024,Arizona Complex League,19.97,1.69,3.05,0.79,2.1,0.5
2024,California League,21.19,1.63,3.02,0.68,2.13,0.42
2024,Carolina League,20.77,1.64,2.39,0.59,1.81,0.43
2024,Dominican Summer League,17.71,0.98,2.45,0.66,1.57,0.39
2024,Eastern League,22.62,1.25,2.44,0.61,1.59,0.39
2024,Florida Complex League,19.76,1.62,2.56,0.7,2.08,0.54
2024,Florida State League,21.14,1.56,2.28,0.56,1.85,0.44
2024,International League,22.89,1.19,3.26,0.76,1.92,0.43
2024,Midwest League,22.02,1.42,2.35,0.58,1.59,0.37
2024,Northwest League,22.11,1.4,2.54,0.62,1.48,0.34
2024,Pacific Coast League,22.81,1.13,3.21,0.74,1.96,0.42
2024,South Atlantic League,21.82,1.43,2.2,0.54,1.88,0.45
2024,Southern League,22.62,1.28,2.32,0.56,1.49,0.35
2024,Texas League,22.59,1.3,2.64,0.64,1.52,0.36
2025,Arizona Complex League,20.08,1.82,2.93,0.76,2.07,0.51
2025,California League,21.08,1.61,2.7,0.63,1.9,0.44
2025,Carolina League,20.53,1.63,2.37,0.58,1.65,0.39
2025,Dominican Summer League,17.66,0.91,2.87,0.76,1.61,0.39
2025,Eastern League,22.47,1.28,2.3,0.56,1.63,0.38
2025,Florida Complex League,19.84,1.54,2.4,0.66,1.86,0.47
2025,Florida State League,21.11,1.56,2.57,0.63,1.82,0.43
2025,International League,23.03,1.05,3.26,0.79,1.85,0.43
2025,Midwest League,21.97,1.39,2.61,0.63,1.53,0.35
2025,Northwest League,22.05,1.38,2.47,0.59,1.66,0.38
2025,Pacific Coast League,22.88,1.19,3.58,0.83,2.05,0.48
2025,South Atlantic League,21.9,1.44,2.16,0.54,1.58,0.38
2025,Southern League,22.63,1.34,2.23,0.55,1.55,0.38
2025,Texas League,22.7,1.33,2.75,0.66,1.88,0.44
2026,Arizona Complex League,20.3,2.11,3.28,0.89,2.08,0.52
2026,California League,21.17,1.78,3.51,0.81,1.93,0.42
2026,Carolina League,20.65,1.67,2.96,0.72,1.9,0.45
2026,Dominican Summer League,17.64,0.9,3.28,0.87,1.78,0.42
2026,Eastern League,23.32,1.56,3.03,0.75,1.74,0.42
2026,Florida Complex League,19.96,1.93,3.36,0.92,2.3,0.6
2026,Florida State League,21.28,1.83,2.93,0.71,2.05,0.49
2026,International League,24.17,1.41,3.15,0.76,1.86,0.44
2026,Midwest League,22.13,1.54,3.21,0.76,2.13,0.46
2026,Northwest League,22.44,1.73,3.5,0.83,1.74,0.39
2026,Pacific Coast League,24.19,1.57,3.89,0.91,1.79,0.39
2026,South Atlantic League,22.26,1.71,3.32,0.78,2.39,0.5
2026,Southern League,23.44,1.72,2.83,0.69,1.82,0.43
2026,Texas League,23.6,1.55,3.34,0.8,1.81,0.4
