Season,League,Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2008,Texas League,19.0,4.53,1.0,,
2008,Texas League,20.0,2.71,0.69,0.75,0.21
2008,Texas League,21.0,2.79,0.63,2.4,0.67
2008,Texas League,22.0,3.1,0.62,2.1,0.66
2008,Texas League,23.0,2.89,0.72,1.7,0.35
2008,Texas League,24.0,2.73,0.68,1.6,0.4
2008,Venezuelan Summer League,16.0,1.29,0.43,1.17,0.39
2008,Venezuelan Summer League,17.0,1.48,0.39,1.59,0.41
2008,Venezuelan Summer League,18.0,2.25,0.6,1.44,0.36
2008,Venezuelan Summer League,19.0,2.45,0.66,1.39,0.36
2008,Venezuelan Summer League,20.0,2.59,0.71,1.34,0.27
2008,Venezuelan Summer League,21.0,4.2,0.99,1.36,0.29
2009,Appalachian League,17.0,4.16,1.02,,
2009,Appalachian League,18.0,2.84,0.69,1.17,0.26
2009,Appalachian League,19.0,2.96,0.75,1.41,0.31
2009,Appalachian League,20.0,2.81,0.71,1.88,0.43
2009,Appalachian League,21.0,2.81,0.69,2.05,0.44
2009,Appalachian League,22.0,2.45,0.63,1.34,0.31
2009,Appalachian League,23.0,3.1,0.81,1.51,0.34
2009,Appalachian League,24.0,3.04,0.84,1.98,0.54
2009,Arizona League,16.0,3.66,0.86,,
2009,Arizona League,17.0,2.45,0.58,2.17,0.5
2009,Arizona League,18.0,2.44,0.6,1.78,0.4
2009,Arizona League,19.0,2.84,0.73,1.22,0.31
2009,Arizona League,20.0,3.0,0.73,2.26,0.5
2009,Arizona League,21.0,2.88,0.68,2.17,0.49
2009,Arizona League,22.0,3.28,0.79,2.07,0.45
2009,Arizona League,23.0,3.44,0.9,1.9,0.45
2009,Arizona League,24.0,2.88,0.7,3.21,0.7
2009,California League,18.0,1.38,0.32,2.19,0.53
2009,California League,19.0,2.52,0.54,,
2009,California League,20.0,3.74,0.87,1.17,0.22
2009,California League,21.0,2.1,0.52,1.79,0.44
2009,California League,22.0,3.1,0.76,1.78,0.39
2009,California League,23.0,3.06,0.75,1.41,0.3
2009,California League,24.0,2.9,0.72,1.4,0.32
2009,Carolina League,19.0,3.2,0.77,1.62,0.34
2009,Carolina League,20.0,2.5,0.61,1.55,0.36
2009,Carolina League,21.0,2.86,0.68,1.42,0.31
2009,Carolina League,22.0,2.73,0.66,1.54,0.35
2009,Carolina League,23.0,2.4,0.61,1.36,0.34
2009,Carolina League,24.0,2.75,0.71,1.78,0.42
2009,Dominican Summer League,16.0,2.16,0.57,1.14,0.25
2009,Dominican Summer League,17.0,2.04,0.52,1.59,0.4
2009,Dominican Summer League,18.0,2.08,0.54,1.71,0.42
