Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2008,Shane Robinson,STL,AA,23,63,244,271,86,62,17,3,4,46,32,17,0,34,3,4,3,4,13,5,0.352459016,4249
2006,Terry Evans,STL,AA,24,21,75,84,23,12,4,0,7,13,20,3,0,21,5,1,0,0,5,1,0.306666666,4295
2006,Terry Evans,LAA,AA,24,52,188,213,58,36,9,2,11,48,22,18,1,56,6,1,0,4,11,6,0.308510638,4295
2008,Mike Baxter,SDP,AA,23,100,324,370,88,58,18,4,8,41,48,39,5,41,2,3,2,9,2,2,0.271604938,4464
2009,Mike Baxter,SDP,AA,24,51,202,229,76,48,23,1,4,38,45,23,1,42,2,2,0,3,5,2,0.376237623,4464
2006,Travis Buck,OAK,AA,22,50,212,238,64,37,22,1,4,32,22,22,1,39,3,0,1,5,9,1,0.301886792,4646
2006,Jeff Clement,SEA,AA,22,15,59,70,17,8,6,1,2,7,10,7,0,8,3,1,0,1,0,0,0.288135593,4652
2007,Tyler Greene,STL,AA,23,65,221,247,54,27,17,2,8,41,25,16,1,62,5,1,4,3,10,2,0.244343891,4675
2008,Tyler Greene,STL,AA,24,97,374,408,97,62,15,4,16,62,41,22,1,99,5,3,4,5,14,6,0.259358288,4675
2006,Donnie Murphy,KCR,AA,23,94,366,395,91,51,25,1,14,57,45,19,2,65,8,0,2,16,6,3,0.248633879,4704
2006,Kila Ka'aihue,KCR,AA,22,103,327,395,65,44,15,0,6,40,45,49,0,73,4,10,5,5,0,1,0.198776758,4707
2007,Kila Ka'aihue,KCR,AA,23,70,244,288,60,35,13,0,12,37,40,41,3,40,2,0,1,4,0,0,0.245901639,4707
2008,Kila Ka'aihue,KCR,AA,24,91,287,376,90,53,11,0,26,64,79,80,7,41,4,5,0,3,3,2,0.31358885,4707
2008,Brian Bogusevic,HOU,AA,24,51,124,145,46,31,10,2,3,21,20,16,1,24,1,0,4,3,8,1,0.370967741,4719
2007,Chase Headley,SDP,AA,23,121,433,522,143,80,38,5,20,82,78,74,7,114,11,4,0,7,1,0,0.330254041,4720
2012,Rymer Liriano,SDP,AA,21,53,183,206,46,31,10,2,3,24,20,20,4,50,3,0,0,6,10,1,0.25136612,4779
2014,Rymer Liriano,SDP,AA,23,99,372,415,98,62,20,2,14,55,53,34,1,101,6,3,0,16,17,6,0.26344086,4779
2007,Josh Geer,SDP,AA,24,27,18,22,4,4,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0.222222222,4781
2009,Jarrod Dyson,KCR,AA,24,63,248,283,64,53,7,4,0,38,14,27,0,54,0,0,8,4,37,6,0.258064516,4866
2010,Mike Moustakas,KCR,AA,21,66,259,298,90,44,25,0,21,58,76,26,9,42,7,6,0,7,0,1,0.347490347,4892
2008,Kyle Blanks,SDP,AA,21,132,492,565,160,112,23,5,20,75,107,51,0,90,17,5,0,16,5,4,0.325203252,49
2011,Kyle Blanks,SDP,AA,24,44,177,201,50,27,16,3,4,33,27,17,3,41,4,3,0,3,3,0,0.282485875,49
2010,Engel Beltre,TEX,AA,20,47,181,198,46,37,4,4,1,14,14,10,0,24,3,2,2,1,8,2,0.254143646,4918
2011,Engel Beltre,TEX,AA,21,118,437,482,101,79,15,6,1,64,28,28,1,103,5,1,11,7,16,6,0.231121281,4918
2012,Engel Beltre,TEX,AA,22,133,564,614,147,100,17,17,13,80,55,26,1,118,13,3,8,14,36,10,0.260638297,4918
2009,Josh Donaldson,OAK,AA,23,124,455,541,123,76,37,1,9,67,91,80,2,92,1,2,3,17,7,2,0.27032967,5038
2008,Max Ramirez,TEX,AA,23,69,243,289,86,51,16,2,17,49,50,37,0,56,7,2,0,4,2,2,0.353909465,5039
2013,Jefry Marte,OAK,AA,22,66,245,278,68,48,17,1,2,33,28,25,1,49,4,4,0,4,8,1,0.27755102,5107
2014,Jefry Marte,OAK,AA,23,107,405,460,105,78,17,0,10,49,53,45,0,70,3,6,1,11,9,3,0.259259259,5107
2009,Ernesto Frieri,SDP,AA,23,27,15,21,3,3,0,0,0,0,0,2,0,6,0,0,4,0,0,0,0.2,5178
2007,Taylor Teagarden,TEX,AA,23,29,102,115,30,20,3,0,7,19,16,10,0,39,1,2,0,1,0,0,0.294117647,5199
2008,Taylor Teagarden,TEX,AA,24,16,59,68,10,6,2,0,2,6,6,8,0,23,1,0,0,0,1,0,0.169491525,5199
2006,Alex Gordon,KCR,AA,22,130,486,577,158,89,39,1,29,111,101,72,0,113,16,2,0,4,22,3,0.32510288,5209
2007,Jon Jay,STL,AA,22,26,102,117,24,16,4,2,2,17,11,11,0,19,4,0,0,0,4,1,0.235294117,5227
2008,Jon Jay,STL,AA,23,96,372,427,114,83,17,3,11,57,47,39,2,46,6,3,7,5,10,7,0.306451612,5227
2012,Robbie Grossman,HOU,AA,22,36,135,160,36,23,8,2,3,22,11,18,0,43,5,1,1,0,4,1,0.266666666,5254
2007,Chad Huffman,SDP,AA,22,49,167,197,45,33,4,1,7,28,28,22,0,44,4,3,1,1,0,0,0.269461077,5311
2008,Chad Huffman,SDP,AA,23,119,437,517,124,84,30,1,9,68,58,67,0,83,7,6,0,12,1,1,0.28375286,5311
2013,Juan Graterol,KCR,AA,24,56,182,195,52,43,6,0,3,17,17,6,0,22,2,1,4,7,3,0,0.285714285,5398
2011,Jose Altuve,HOU,AA,21,35,144,153,52,35,9,3,5,21,25,7,0,14,0,1,1,5,5,5,0.361111111,5417
2007,Drew Macias,SDP,AA,24,100,331,391,83,55,15,5,8,43,50,51,3,53,5,4,0,6,5,8,0.250755287,5451
