Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2012,Jayson Langfels,COL,A+,23,81,275,318,77,51,16,6,4,44,51,29,0,82,8,3,3,4,5,3,0.28,sa546633
2012,Nathan Melendres,SEA,A+,22,8,28,30,8,4,2,1,1,4,3,1,0,8,0,0,1,0,0,1,0.285714285,sa546710
2013,Nathan Melendres,SEA,A+,23,69,257,280,67,40,18,3,6,39,38,13,0,39,3,5,2,5,6,2,0.260700389,sa546710
2012,Tony Thompson,OAK,A+,23,95,344,390,95,61,22,1,11,48,49,38,0,61,1,7,0,12,1,1,0.27616279,sa546717
2013,Tony Thompson,OAK,A+,24,116,460,515,115,70,26,1,18,58,92,48,2,96,3,4,0,10,3,0,0.25,sa546717
2012,Jonathan Roof,SDP,A+,23,6,21,22,7,5,2,0,0,3,1,1,0,1,0,0,0,0,0,0,0.333333333,sa546779
2012,Kurtis Muller,CIN,A+,22,57,183,208,48,28,16,2,2,31,24,17,0,25,2,3,3,7,15,8,0.262295081,sa546782
2014,Harold Riggins,CIN,A+,24,35,125,140,29,16,10,0,3,12,12,15,0,58,0,0,0,1,2,0,0.232,sa546789
2013,Harold Riggins,COL,A+,23,118,413,482,102,54,25,1,22,77,65,57,2,192,11,1,0,4,5,3,0.246973365,sa546789
2013,Andy Workman,LAA,A+,24,125,438,490,103,62,27,5,9,63,38,41,1,119,8,2,1,11,11,5,0.235159817,sa546865
2015,Paul Hoenecke,LAD,A+,24,107,393,422,116,72,33,2,9,48,63,23,0,76,2,4,0,6,2,0,0.295165394,sa546964
2012,Jimmy Swift,LAA,A+,24,34,107,120,27,18,5,2,2,14,12,10,1,28,2,0,1,2,2,1,0.252336448,sa547025
2013,Trevor Hairgrove,LAA,A+,23,51,144,171,28,22,6,0,0,17,7,18,0,32,3,1,5,2,1,0,0.194444444,sa547088
2011,Steven Irvine,LAA,A+,23,99,319,359,79,54,18,4,3,41,35,27,0,69,4,5,4,9,4,4,0.247648902,sa547198
2013,Duanel Jones,SDP,A+,20,123,449,487,101,71,21,2,7,49,54,31,0,124,5,2,0,11,1,3,0.22494432,sa547235
2014,Duanel Jones,SDP,A+,21,108,389,428,91,60,20,1,10,34,56,27,1,112,5,5,2,7,4,5,0.233933161,sa547235
2016,Cristian Paulino,SFG,A+,24,82,286,299,74,51,17,2,4,35,24,8,0,69,1,0,4,6,29,10,0.258741258,sa547810
2014,Alberto Robles,SFG,A+,23,60,214,234,48,37,8,1,2,23,23,12,0,30,2,2,4,11,9,5,0.224299065,sa547814
2015,Delvis Morales,LAD,A+,24,52,138,159,34,31,3,0,0,15,10,12,0,39,5,0,4,3,6,3,0.246376811,sa547910
2015,Josmar Cordero,LAD,A+,23,28,85,90,23,16,6,0,1,5,9,3,0,15,2,0,0,3,1,0,0.270588235,sa547928
2015,Estarlyn Morales,SEA,A+,22,12,45,47,8,5,3,0,0,3,3,1,0,11,1,0,0,0,0,0,0.177777777,sa547982
2015,Cesar Galvez,COL,A+,23,41,138,152,33,32,1,0,0,12,6,11,1,21,0,2,1,1,7,4,0.239130434,sa547994
2013,Yeison Asencio,SDP,A+,23,57,243,257,72,45,20,2,5,33,44,10,0,29,0,4,0,4,1,1,0.296296296,sa548016
2015,Chris Garia,TEX,A+,22,60,254,284,83,55,11,10,7,57,41,19,0,51,3,2,6,0,22,2,0.326771653,sa548021
2014,Gabriel Quintana,SDP,A+,21,130,529,566,139,86,35,0,18,77,84,21,1,150,11,5,0,4,4,1,0.262759924,sa548052
2015,Gabriel Quintana,SDP,A+,22,117,461,483,113,69,31,1,12,58,54,16,1,107,1,4,1,8,1,4,0.245119305,sa548052
2014,Luis Tejada,SDP,A+,21,12,42,45,8,6,2,0,0,5,2,2,0,12,1,0,0,1,0,0,0.19047619,sa548053
