Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2016,Angel Perez,TBR,A,21,38,137,146,26,23,3,0,0,10,7,6,0,30,1,0,2,5,5,0,0.189781021,sa755474
2016,Eric Meza,LAD,A,18,65,223,245,51,37,10,0,4,20,24,20,1,48,2,0,0,5,0,1,0.228699551,sa824868
2017,Eric Meza,LAD,A,19,30,103,114,24,18,5,0,1,3,13,7,0,19,2,2,0,3,0,0,0.233009708,sa824868
2017,Luis Ayala,CHC,A,21,114,391,447,110,85,17,5,3,52,42,43,1,86,7,3,3,2,24,15,0.281329923,sa826649
2017,Wladimir Galindo,CHC,A,20,44,162,177,47,32,11,0,4,21,19,14,0,40,1,0,0,7,1,1,0.290123456,sa826652
2018,Alexander Alvarez,TBR,A,21,32,118,126,28,19,4,2,3,13,11,5,0,38,0,0,3,3,0,1,0.237288135,sa826656
2017,Eleardo Cabrera,TBR,A,21,80,279,322,69,52,11,5,1,28,24,21,0,81,14,3,5,8,4,7,0.247311827,sa826658
2018,Eleardo Cabrera,TBR,A,22,76,259,294,57,43,10,0,4,28,31,26,1,71,4,3,2,6,7,1,0.22007722,sa826658
2017,Anthony Pereira,DET,A,20,126,470,518,118,81,29,1,7,45,64,40,0,84,4,1,3,9,11,3,0.251063829,sa826663
2018,Anthony Pereira,DET,A,21,46,147,168,29,18,10,0,1,13,11,16,0,32,0,3,2,4,2,2,0.197278911,sa826663
2017,Anthony Jimenez,SEA,A,21,64,228,256,68,42,17,2,7,43,33,19,0,73,5,2,2,3,24,10,0.298245614,sa826672
2018,Greifer Andrade,SEA,A,21,39,140,146,31,22,6,0,3,13,20,1,0,48,3,1,1,4,0,1,0.221428571,sa826675
2018,Eugene Helder,SEA,A,22,102,375,418,90,63,17,3,7,48,44,34,0,64,3,4,2,7,4,0,0.24,sa826786
2014,Bobby Boyd,HOU,A,21,20,73,82,16,15,0,1,0,9,6,7,0,15,0,0,2,0,6,1,0.219178082,sa827122
2015,Bobby Boyd,HOU,A,22,117,446,511,126,99,19,7,1,67,36,45,0,103,2,5,13,1,40,12,0.28251121,sa827122
2015,Pat Kelly,MIN,A,22,95,327,367,72,52,13,4,3,41,30,22,0,79,6,5,6,6,1,3,0.220183486,sa827129
2016,Mike Martin,OAK,A,23,34,121,142,36,32,3,0,1,16,20,14,0,22,1,1,5,2,7,2,0.297520661,sa827131
2017,Mike Martin,OAK,A,24,73,263,298,79,61,16,1,1,46,27,22,0,41,5,3,3,7,24,4,0.300380228,sa827131
2015,David Armendariz,CLE,A,23,69,216,242,44,32,11,0,1,24,12,18,0,52,4,1,3,4,5,4,0.203703703,sa827133
2016,David Armendariz,CLE,A,24,55,210,217,50,31,14,2,3,16,25,4,1,58,2,0,1,7,0,0,0.238095238,sa827133
2016,Kyle Overstreet,SDP,A,22,11,30,35,8,6,2,0,0,3,2,5,0,5,0,0,0,0,0,0,0.266666666,sa827140
2017,Kyle Overstreet,SDP,A,23,17,55,67,18,10,6,0,2,10,6,11,0,8,1,0,0,1,0,1,0.327272727,sa827140
