Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2022,Oswal Leones,MIL,A,21,57,196,222,38,26,9,1,2,21,25,21,0,59,3,2,0,4,8,2,0.193877551,sa3005945
2024,Jose Acosta,MIL,A,24,22,66,71,17,16,1,0,0,8,7,5,0,14,0,0,0,0,11,2,0.257575757,sa3006187
2021,Jose Acosta,TEX,A,21,37,101,118,26,16,9,0,1,20,7,12,0,31,5,0,0,2,9,3,0.257425742,sa3006187
2022,Jose Acosta,TEX,A,22,23,61,73,14,6,4,2,2,7,11,7,0,21,1,0,4,0,4,1,0.229508196,sa3006187
2022,Brandol Mezquita,ATL,A,20,87,331,388,93,72,14,4,3,57,46,41,0,101,10,6,0,4,14,5,0.280966767,sa3006201
2021,Pablo Aliendo,CHC,A,20,64,213,253,53,38,10,0,5,42,27,22,0,72,15,2,1,2,2,1,0.248826291,sa3006220
2021,Wilkin Grullon,BAL,A,21,11,23,28,2,1,0,0,1,2,1,5,0,10,0,0,0,0,0,0,0.086956521,sa3006222
2022,Wilkin Grullon,BAL,A,22,18,54,60,12,5,4,0,3,5,6,5,0,15,1,0,0,2,0,0,0.222222222,sa3006222
2019,Chandler Taylor,HOU,A+,23,80,274,330,61,32,13,2,14,40,50,50,2,129,3,3,0,2,8,7,0.222627737,sa3006654
2019,Ross Adolph,HOU,A+,22,43,144,172,34,27,5,1,1,24,16,24,0,43,4,0,0,1,2,1,0.236111111,sa3006666
2019,Robert Neustrom,BAL,A+,22,31,122,130,29,20,7,0,2,10,10,8,0,30,0,0,0,1,0,1,0.237704918,sa3006667
2019,Devlin Granberg,BOS,A+,23,25,90,99,20,14,6,0,0,9,11,4,0,16,3,2,0,4,1,1,0.222222222,sa3006671
2021,Samil Polanco,CHW,A,21,78,308,332,79,51,19,4,5,42,40,15,0,74,5,4,0,5,1,7,0.256493506,sa3006676
2022,Samil Polanco,CHW,A,22,73,254,275,57,37,14,2,4,27,35,14,0,44,4,3,0,4,2,1,0.224409448,sa3006676
2021,Doran Turchin,BAL,A,23,5,17,21,4,3,1,0,0,3,0,3,0,8,1,0,0,0,0,0,0.235294117,sa3006680
2019,Gage Canning,WSN,A+,22,101,369,410,88,62,17,6,3,44,40,32,0,114,6,0,3,3,8,4,0.238482384,sa3006711
2021,Cole Daily,WSN,A,24,14,50,59,10,9,1,0,0,9,5,9,0,12,0,0,0,2,2,1,0.2,sa3006713
2019,Grant Williams,BOS,A+,23,17,54,58,18,14,4,0,0,4,4,1,0,7,0,0,3,1,2,1,0.333333333,sa3006724
2021,Ryne Ogren,BAL,A,24,41,137,162,30,18,9,0,3,21,19,19,0,38,4,2,0,3,0,0,0.218978102,sa3006726
2019,Kole Cottam,BOS,A+,22,11,39,42,10,4,4,0,2,5,10,1,0,11,0,2,0,1,0,1,0.256410256,sa3006780
2019,Marty Costes,HOU,A+,23,29,97,116,24,18,3,0,3,14,12,14,0,15,4,1,0,2,0,1,0.24742268,sa3006783
2019,Jonathan Ortega,BOS,A+,22,20,62,70,15,13,2,0,0,9,4,8,0,13,0,0,0,3,5,3,0.241935483,sa3006790
2019,Tyler Depreta-Johnson,TEX,A+,23,53,159,176,30,24,6,0,0,13,13,14,0,35,2,0,1,5,1,1,0.188679245,sa3006792
2019,Korby Batesole,BOS,A+,23,25,53,60,9,9,0,0,0,4,2,3,0,12,1,1,2,0,0,0,0.16981132,sa3006847
2021,Caberea Weaver,CHW,A,21,80,290,328,62,42,11,2,7,42,30,31,0,117,6,1,0,7,25,7,0.213793103,sa3006866
2022,Caberea Weaver,CHW,A,22,13,47,51,9,4,2,0,3,7,5,3,0,19,1,0,0,2,0,0,0.191489361,sa3006866
2023,Caberea Weaver,CHW,A,23,25,89,94,21,12,8,0,1,17,9,4,0,28,1,0,0,2,2,1,0.235955056,sa3006866
2021,Micah Bello,MIL,A,20,47,191,206,46,28,14,0,4,24,24,11,0,64,2,2,0,4,1,1,0.240837696,sa3006883
2022,Micah Bello,MIL,A,21,18,59,70,21,13,6,0,2,13,13,7,0,14,2,1,0,1,2,0,0.355932203,sa3006883
2021,Jelfry Marte,TBR,A,20,13,43,51,6,4,1,0,1,9,3,5,0,13,1,1,1,1,1,2,0.139534883,sa3006886
2022,Jelfry Marte,TBR,A,21,65,201,237,45,36,6,1,2,28,15,26,0,78,6,0,4,2,10,2,0.223880597,sa3006886
2021,Luis Verdugo,CHC,A,20,62,214,227,40,24,12,1,3,22,25,11,0,65,1,1,0,4,2,1,0.186915887,sa3006888
2021,Leandro Emiliani,WSN,A,21,32,103,120,16,10,1,0,5,12,16,15,0,39,2,0,0,2,0,0,0.155339805,sa3006897
2022,Leandro Emiliani,WSN,A,22,59,225,251,52,27,14,1,10,31,47,22,0,70,2,2,0,6,0,0,0.231111111,sa3006897
